Model,vehicule,totalDistanceKm,nbTrips,territoire,heure_debut,heure_fin,carnetEntryIndex,moment,meteo_ensoleille,meteo_nuageux,meteo_pluvieux,meteo_venteux,meteo_neigeux,meteo_brouillard,meteo_autre,motif,avantage_aucun,avantage_agilite,avantage_confort,avantage_observation,avantage_fierté,avantage_reactions,avantage_bien_etre,avantage_autre,difficulte_aucune,difficulte_visibilite,difficulte_amenagement,difficulte_stationnement,difficulte_vehicule,difficulte_comportement,difficulte_autre,difficultes_details,point_noir_1,point_noir_2,bilan,commentaires,point_noir_1_lon,point_noir_1_lat,mode_domicile_travail,mode_domicile_etudes,mode_domicile_loisirs,edits
,BIRO,,1,CC Grand Pic St Loup,16:30,20:00,10,Jour,1,0,0,0,0,0,,Loisirs,0.0,0,1,1,0,0,0,,1.0,0,0,0,0,0,,,,,Positif,Bien que j'ai emprunté la départementale D17 trés roulante je n'ai pas eu l'impression d'être pesant pour le véhicules derrière moi. La route est droite avec une bonne visibilité pour doubler,,,,,,{}
,BIRO,,1,CC Grand Pic St Loup,16:15,18:15,11,Jour,1,0,0,0,0,0,,Loisirs,0.0,1,0,0,0,1,0,,0.0,0,0,0,0,0,faible vitesse dans les côtes,,,,Positif,"A l'aller, route par le village des Matelles, des petites côtes qui font peiner le Biro, vitesse inférieure a 40km/h alors que je suis seul. Retour beaucoup plus roulant par le lien , en prenant la bande de bordure qui permet de rouler facilement en Biro sans gener la circulation (je ne sais pas si cela est autorisé par le code de la route). J'ai eu un peu peur car je suis parti avec 55% de batterie et au retour chez moi il restait 6%. le Biro semble consommer plus sur des petites routes avec des côtes et beaucoup de stop.",,,,,,{}
,BIRO,,1,CC Grand Pic St Loup,18:00,20:00,12,Jour,1,0,0,0,0,0,,Loisirs,0.0,1,0,1,0,0,0,,0.0,0,0,0,0,0,route endommagée,,petite route des crotasses entre St Mathieu et Valfaunes non goudronnée sur 100 m,,Positif,"il manque 100 m de goudron sur le trajet empruntant la route des crotasses, le Biro se comporte difficilement sur un chemin chaotique, probablement du fait de la taille des roues et du manque de suspension.",3.8681462,43.7808682,,,,{}
,BIRO,,1,CC Grand Pic St Loup,08:30,18:30,13,Jour,1,0,0,0,0,0,,bénévolat à EMMAUS,0.0,1,0,1,0,1,0,,0.0,0,0,0,0,0,chaleur dans l'habitacle,,,,Positif,Aucun probléme en prenant à l'aller le LIEN en roulant sur la bande d'arrêt (est ce légal ?). Idem au retour en prenant les petites routes. Qua,,,,,,{}
,BIRO,,1,CC Grand Pic St Loup,08:30,18:30,14,Jour,1,0,0,0,0,0,,bénévolat,0.0,1,0,1,0,1,0,,0.0,0,0,0,0,0,chaleur dans l'habitacle,,,,Positif,pas de pb sur la grande route - le LIEN - car j'ai roulé sur un bas coté goudronné suffisament large. Idem au retour pas des petites routes peu empruntées. mais quelle chaleur dans l'abitacle. l'aeration par la trappe audessus du pare brise est insuffisante quand il fait 30 degrés dehors,,,,,,{}
,BIRO,,1,CC Grand Pic St Loup,17:00,18:00,15,Jour,1,0,0,0,0,0,,Courses,0.0,0,0,0,0,1,0,facilité à se garer,1.0,0,0,0,0,0,,,,,Très positif,facilité à se garer. seul point noir la chaleur dans l'habitacle. certes j'aurai pu enlever la porte coté droit mais comment faire pour stoker ses courses en sécurité,,,,,,{}
,BIRO,,1,CC Grand Pic St Loup,07:00,08:30,16,Jour,1,0,0,0,0,0,,Loisirs,0.0,0,0,0,1,0,0,,1.0,0,0,0,0,0,,,,,Très positif,rien à signaler pour ce trajet,,,,,,{}
,BIRO,,1,CC Grand Pic St Loup,09:00,17:00,17,Jour,0,1,1,0,0,0,,Loisirs,0.0,1,0,1,1,0,0,,1.0,0,0,0,0,0,,,,,Très positif,pas de soucis malgré la pluie.  A l'arret mieux vaut fermer le carreau du haut car l'eau peut rentrer,,,,,,{}
,Urbaner,,1,CC Grand Pic St Loup,09:15,09:20,18,Jour,1,0,0,0,0,0,,Récupération de l'urbaner à la communauté de communes,0.0,0,1,0,0,0,1,Sentiment de vitesse agréable mais pas d'agilité,0.0,0,0,0,0,0,"Surprise par la sensation au virage dans le rond point, sensation bizarre au passage de dos d'âne avec l'habitacle qui tremble, j'imagine qu'il faut un temps pour s'habituer",,Dos d'âne sur la rue des avants,Rond point au croisement de la rue des avants et av de Montpellier,Positif,Rien de particulier,3.8705934,43.7648089,voiture,,voiture,{}
,BIRO,,1,CC Grand Pic St Loup,11:00,12:30,19,Jour,1,0,0,0,0,0,,Loisirs,0.0,1,0,0,0,1,0,,1.0,0,0,0,0,0,,,,,Positif,"il s'agit du seul trajet à deux adultes dans le Biro. Trajet qui cloture ma période d'emprunt du véhicule. Le Biro se comporte bien m^me avec deux adlutes d'un bon poids même dans les cotes moyennes. le trajet s'est fait sans problème mais toujours avec des véhicules pressés de doubler. Une mini  a doublé alors que j'étais dans une voie encadrée par un muret à gauche et le trottoir à droite.

Autre bémol, je n'ai pas trouvé dans la notice remise avec le véhicule , la durée de la recharge de 10 à 100% par exemple. cela serait utile aux conducteurs",,,,,,{}
,BIRO,,1,CC Grand Pic St Loup,16:00,19:00,20,Jour,1,0,0,1,0,0,,Loisirs,0.0,0,0,1,1,0,0,,0.0,0,0,1,0,0,,,Parking devant la mairie m,,Positif,Très agréable pour une première,,,,,,{}
,Urbaner,,1,CC Grand Pic St Loup,12:15,12:50,21,Jour,1,0,0,0,0,0,,Loisirs,0.0,0,1,1,0,0,0,,0.0,0,1,0,0,0,"Sensation de gêner les autres, difficultés dans les virages",,"Rue Hector Berlioz, 34270 Saint Mathieu de Treviers (impossible de passer avec le véhicule)",Rond point au croisement de la rue des avants et av de Montpellier,Positif,Je me suis sentie plus à l'aise sur la route de campagne qu'en ville,3.8682666,43.7669002,voiture,,voiture,{}
,Urbaner,,1,CC Grand Pic St Loup,13:00,13:40,22,Jour,1,0,0,0,0,0,,Courses,0.0,0,1,1,0,0,0,,0.0,0,1,1,0,0,,,Intermarché,"Avenue guillaume pellicier, 34270 saint Mathieu de Treviers",Positif,"A intermarché : les stationnements vélo ne sont pas adaptés pour y mettre ce type de véhicule 
Avenue guillaume pellicier : des poubelles sur les pistes cyclables et les poteaux au milieu des pistes cyclables permettent de passer mais sans être en grande confiance, cela incite à prendre la route à la place pour être plus à l'aise et aller plus vite",3.8664841,43.7606147,voiture,,voiture,{}
,BIRO,,1,CC Grand Pic St Loup,17:25,17:55,23,Jour,1,0,0,1,0,0,,Tour du village,0.0,0,0,1,0,0,0,,0.0,0,0,0,0,0,Difficile sur les ralentisseurs et Les trous dans la chaussée,,,,Positif,"Arrêts et bibliothèque mairie 
On ne passe pas inaperçu !!! Curiosité des passants",,,,,,{}
,BIRO,,1,CC Grand Pic St Loup,17:30,18:30,24,Jour,1,0,0,0,0,0,,RV école mairie ( conseillère municipale),0.0,0,0,0,0,0,0,Facile à garer,0.0,0,0,0,0,0,Comportements des gens,,,,Négatif,"Qq minutes devant l'école et j'ai retrouvé des feuilles, des pierres des branches dans le véhicule ( enfants qui passaient et ont jeté ce qu'ils avaient à leur portée par le toit 
Réactions des gens rencontrés "" ils ont les moyens à la communauté pour vous offrir un véhicule.... avec nos impôts.... Ou : la mairie ne se refuse rien, des véhicules pour les élus "" Obligée d'expliquer... Beaucoup de jalousie en fait 
Pas top cette escapade aujourd'hui",,,,,,{}
,BIRO,,1,CC Grand Pic St Loup,13:00,15:15,25,Jour,1,0,0,0,0,0,,RV école mairie ( conseillère municipale),1.0,0,0,0,0,0,0,,0.0,0,0,0,0,1,,,,,Positif,Toujours obligée de ranger le véhicule à l'abri des regards,,,,,,{}
,Urbaner,,1,CC Grand Pic St Loup,17:25,18:00,26,Jour,1,0,0,0,0,0,,Médecin,0.0,0,0,0,0,0,1,,0.0,0,1,0,0,1,,,Piste au départ de saint Mathieu de Treviers vers valflaunes (j'ai fait demi tour pour utiliser la route des voitures car trop de trous/cailloux),"D17 : super quand l'accotement permet de rouler hors de la route pour laisser les voitures doubler, compliqué sinon car on gène les voitures",Négatif,"Le trajet a été stressant, je n'ai pas envie de le refaire",3.8693652,43.7752767,voiture,,voiture,{}
,Urbaner,,1,CC Grand Pic St Loup,18:30,19:00,27,Jour,1,0,0,0,0,0,,Retour médecin,0.0,0,0,1,0,1,0,,0.0,0,1,0,0,0,,,D17 : parfois pas assez d'espace pour que les voitures me doublent,,Positif,L'odeur de la garrigue et la vue sur le pic sont très sympa.,3.8706428,43.7767534,voiture,,voiture,{}
,WEEZ,,1,CC Grand Pic St Loup,16:00,19:00,28,Jour,1,0,0,0,0,0,,domicile -mission élue,0.0,1,0,0,1,1,0,,1.0,0,0,0,0,0,,,,,Très positif,un pare soleil serait le bienvenu.,,,,,,{}
,WEEZ,,1,CC Grand Pic St Loup,13:00,15:00,29,Jour,0,0,0,1,0,0,,Domicile / travail,0.0,1,0,0,1,1,0,,1.0,0,0,0,0,0,,,,,Très positif,Un bonheur pour se garer dans parking sous terrains ville,,,,,,{}
,WEEZ,,1,CC Grand Pic St Loup,09:00,16:00,30,Jour,1,0,0,0,0,0,,Domicile / travail,0.0,1,0,0,1,1,0,,1.0,0,0,0,0,0,,,,,Très positif,"Me suis servi du véhicule plusieurs fois dans la journée : pour aller à la mairie, pour aller à l'hôtel de communauté du Grand Pic Saint Loup .",,,,,,{}
,WEEZ,,1,CC Grand Pic St Loup,09:00,16:00,31,Jour,1,0,0,0,0,0,,Domicile / travail,0.0,1,1,0,1,1,0,,1.0,0,0,0,0,0,,,,,Très positif,"ai utilisé toute la journée ce véhicule, pour mes petits déplacements ( domicile-maire) et pour un plus long (domicile- CCGPSL)",,,,,,{}
,WEEZ,,1,CC Grand Pic St Loup,09:00,19:00,32,Jour,1,0,0,0,0,0,,deplacements intérieur village,0.0,1,0,1,1,1,0,,1.0,0,0,0,0,0,,,,,Très positif,En tant que maire de Saint Bauzille de Montmel je suis amenée à me déplacer plusieurs fois par jour en différents lieux du village . Ce véhicule me permet de me déplacer facilement et rapidement et suffit largement pour ces courts trajets mais fréquents .,,,,,,{}
,WEEZ,,1,CC Grand Pic St Loup,09:00,16:00,33,Jour,1,0,0,0,0,0,,deplacements intérieur village,0.0,1,1,0,1,1,0,,1.0,0,0,0,0,0,,,,,Très positif,n tant que maire de Saint Bauzille de Montmel je suis amenée à me déplacer plusieurs fois par jour en différents lieux du village . Ce véhicule me permet de me déplacer facilement et rapidement et suffit largement pour ces courts trajets mais fréquents .,,,,,,{}
,WEEZ,,1,CC Grand Pic St Loup,07:30,19:00,34,Jour,1,0,0,0,0,0,,deplacements intérieur village,0.0,1,1,0,1,1,0,,1.0,0,0,0,0,0,,,,,Très positif,"n tant que maire de Saint Bauzille de Montmel je suis amenée à me déplacer plusieurs fois par jour en différents lieux du village . Ce véhicule me permet de me déplacer facilement et rapidement et suffit largement pour ces courts trajets mais fréquents . 
Utilisé notamment ce jour pour transporter personne très âgée au bureau de vote. Cette personne a trouvé aisé de s'installer dans le véhicule ( ne s'enfonce pas comme dans véhicules classiques, hauteur facile pour monter et descendre",,,,,,{}
,Speedbike,,1,PNR Grand Causses,17:30,18:00,36,Jour,1,0,0,0,0,0,,Domicile / travail,0.0,1,0,1,1,0,1,,0.0,0,0,0,1,0,,,Le vélo s’est éteint en route puis s’est mis à klaxonner tout seul en configuration « vol ». Coup de panique sur le moment.,,Positif,Non,,,"voiture,VAE",,"voiture,VAE",{}
,Speedbike,,1,PNR Grand Causses,08:45,09:05,37,Jour,1,0,0,0,0,0,,Domicile / travail,0.0,1,0,1,1,0,1,,1.0,0,0,0,0,0,,,,,Très positif,Manque un peu de suspension. On se fait pas mal secouer à chaque plaque d’égout ou déformation de la route. Effet accentué par la vitesse.,,,"voiture,VAE",,"voiture,VAE",{}
,BIRO,,1,CC Grand Pic St Loup,18:30,19:00,38,Jour,1,0,0,0,0,0,,Faire le tour du village,0.0,0,0,0,0,0,0,Questionnements sur le véhicule de la part des gens rencontrés,1.0,0,0,0,0,0,,,,,Positif,Le kilométrage a redémarré à zéro ???,,,,,,{}
BIRO,BIRO,1.5727690919066848,3,CC Grand Pic St Loup,10:00,12:00,39,Jour,1,0,0,0,0,0,,Courses,0.0,0,0,1,0,0,0,,1.0,0,0,0,0,0,,,,,Positif,"Rendez vous coiffeur 
Facile à garer",,,,,,{}
,WEEZ,,1,CC Grand Pic St Loup,19:00,20:30,40,Jour,1,0,0,0,0,0,,Transmission résultats elections,0.0,1,0,0,0,0,0,,1.0,0,0,0,0,0,,,,,Très positif,Aucun,,,,,,{}
,WEEZ,,1,CC Grand Pic St Loup,17:00,23:00,41,Nuit,1,0,0,0,0,0,,Domicile / travail,0.0,1,0,0,1,0,0,,1.0,0,0,0,0,0,,,,,Très positif,"Les phares permettent une bonne visibilité la nuit.
Par contre l’absence de feu de recul est gênant pour se garer en marche arrière la nuit.",,,,,,{}
BIRO,BIRO,6.619856417047994,1,CC Grand Pic St Loup,14:30,16:00,42,Jour,1,0,0,0,0,0,,Loisirs,0.0,0,0,1,0,0,0,,1.0,0,0,0,0,0,,,,,Positif,Pas facile sur les grands axes,,,,,,{}
BIRO,BIRO,1.9177551055723723,1,CC Grand Pic St Loup,18:00,18:45,43,Jour,1,0,0,0,0,0,,Courses,1.0,0,0,0,0,0,0,,1.0,0,0,0,0,0,,,,,Positif,Ras,,,,,,{}
WEEZ,WEEZ,58.654177727203205,4,CC Grand Pic St Loup,09:00,19:00,44,Jour,1,0,0,0,0,0,,Domicile / travail,0.0,1,1,1,1,1,0,,1.0,0,0,0,0,0,,,,,Très positif,Les portières sont un peu dures à fermer,,,,,,{}
WEEZ,WEEZ,55.813586991642424,3,CC Grand Pic St Loup,08:00,13:00,45,Jour,1,0,0,0,0,0,,Domicile / travail,0.0,1,0,0,1,0,0,Se garer facilement,1.0,0,0,0,0,0,,,,,Très positif,Pas de son lorsqu'on met les clignotants,,,,,,{}
WEEZ,WEEZ,12.551100609977153,1,CC Grand Pic St Loup,10:30,11:00,46,Jour,1,0,0,0,0,0,,Courses,0.0,1,0,1,1,0,0,Facilité rangement courses,1.0,0,0,0,0,0,,,,,Très positif,Pour personne âgée voyageur facilite pour entrer et sortir du véhicule.  Pas de sentiment d'être enfoncée dans siège. Cette personne âgée a apprécié le confort et la position assise .,,,,,,{}
WEEZ,WEEZ,21.369813369340584,5,CC Grand Pic St Loup,09:45,12:00,47,Jour,0,0,1,0,0,0,,Domicile / travail,0.0,1,1,1,1,1,0,,1.0,0,0,0,0,0,,,,,Très positif,Apprécierai que les clignotants soient sonores. Essuies glace très efficaces,,,,,,{}
Karbikes,Karbikes,4.271607349247013,2,PNR Grand Causses,18:00,19:00,49,Jour,1,0,0,0,0,0,,Loisirs,0.0,0,1,0,1,1,1,,0.0,1,0,0,0,0,le rétroviseur droit se,,,,Très positif,"j'ai effectué 3 petits trajets de 2km chacun .

le premier, seul, pour aller faire une course. très facile de me garer, très pratique de ne pas avoir de clés pour démarrer ou éteindre. premier trajet, prise en main très rapide, que ce soit le frein à main, les modes de déplacements électriques, la marche arrière ou l'aide pour démarrer en cote. deux points négatifs notés : pour les jambes conducteurs, en pédalant elles frottent au carénage intérieur des roues, ce qui frotte ma peau, car je suis en short. concernant le mode moteur adaptatif, il arrive parfois que pour redémarrer après un arrêt derriere une voiture, je doive pousser très fort, alors que la plupart du temps le démarrage dans ce mode est avec un pédalage très léger puis qui se durcit. là, c'est l'inverse. je n'ai pas encore identifié dans quel cas. ce n'est pas simple de repartir quand ca arrive, surtout pour rentrer dans un rond point.

2nd petit trajet avec deux enfants de 4 ans et demi. facile à attacher et à installer. sensation de sécurité immédiate. les sièges facilement réglables sont un vrai avantage. avoir un coffre meme avec deux passagers, aussi

dernier petit trajet, en portant un adulte à l'arrière. l'assistance au pédalage est moins efficace, il faut pousser un peu plus, ca demande de l'effort. ce qui parait normal. mais ca demande quand meme un effort physique conséquent.
la seule différence est que le vélo faisait du bruit quand l'adulte était à l'arriere. le bruit est récurrent, comme si une feuille frotte sur la roue, en terme de son. je n'ai pas encore identifié ce que c'était, mais à priori c'est vraiment lié au fait de porter un adulte derriere. je n'ai pas entendu ce bruit seul, ni avec les deux enfants. je vais tenter d'identifier plus précisement cela la prochaine fois que je porte quelqu'un.",,,marche,,marche,{}
Frikar,Frikar,36.48868994966608,1,PNR Grand Causses,08:20,10:20,50,Jour,1,0,0,0,0,0,,Loisirs,0.0,0,0,0,1,1,0,,0.0,0,0,0,0,0,"Vitesse de 25km/h lente, sensation de lenteur en milieu rural. Trajet plus long que prévu",,Pas de point de charge intermédiaire,Lenteur du véhicule : besoin du 45,Négatif,"Le podbike n’est pas adapté au milieu rural.
Batterie restante 3 km après 36km",,,,,,{}
Karbikes,Karbikes,9.413108549908271,2,PNR Grand Causses,10:45,11:30,51,Jour,1,0,0,0,0,0,,Loisirs,0.0,1,1,1,1,1,0,,0.0,1,0,0,0,0,,,"lorsque je circule sur des boulevards avec beaucoup de circulation. les rétroviseurs sont petits, c'est probablement une manque d'habitude par rapport à ceux bien plus grand des voitures",,Très positif,"le karbike fait parfois des bruits au niveau de la chaine. je n'ai pas l'impression que ce soit un problème
nous avons roulé sur une petite portion de voie verte assez cabossé, le bike tremble pas mal, mais pour de petites sections, c'est pas mal. on sent quand meme dans ce genre de moment le côté non ""consolidé"" de la construction.
trajet de ballade avec deux enfants de 4,5 ans à l'arriere. trajet très agréable, un peu de lourdeur parfois pour redémarrer apres un arret. l'utilisation du mode power permet de redémarrer plsu facilement que le mode hybride.",3.0678103,44.0900447,marche,,marche,{}
BIRO,BIRO,3.212624891436426,2,PNR Grand Causses,14:15,16:00,52,Jour,1,0,0,0,0,0,,Loisirs,0.0,0,0,1,0,1,0,,0.0,0,0,0,1,0,État des chaussées,,275 rue de la cadenède 12100 Millau,,Très négatif,"Problème de chauffe, véhicule immobilisé en cote avec impossibilité de redémarrer. Après un long temps d’attente en plein soleil sous  38 degrés le véhicule a daigné repartir à 1/2 km/h",3.0502146,44.1034102,,,"moto,VAE,marche",{}
WEEZ,WEEZ,20.81169583685152,3,PNR Grand Causses,10:00,12:00,53,Jour,0,0,1,0,0,1,,Déménagement,0.0,1,1,1,1,1,1,,1.0,0,0,0,0,0,Je ne peux pas recharger chez moi,,,,Très positif,"Les clignotants qui ne font pas de retours sonores portent à confusion les premières minutes
On se fait surprendre par l’alarme de la portière ouverte. Déposer un passager n’est pas très agréable
Un appel sonore indiquant que les phares sont restés allumés aurait été plus utile
Le joint d’étanchéité de la portière avant s’est détaché 
Pas de vision arrière/rétro central, dommage pour une petite voiture car ça enlève du potentiel d’agilité quand on n’a pas l’habitude de faire des créneaux à l’aveugle",,,,,,{}
Karbikes,Karbikes,8.882853271117312,2,PNR Grand Causses,15:00,15:30,54,Jour,0,0,1,0,0,0,,Courses,0.0,1,1,0,0,1,1,,0.0,0,1,0,0,0,,,,,Très positif,"premier trajet sous la pluie. en tant que conducteur, je n'ai pas du tout été mouillé. l'adulte passager à l'arrière l'a été un petit peu. ce n'était pas une grosse pluie. chaussée humide mais aucune constatation de difficulté à diriger sur chaussée humide
aller retour pour aller chercher des gateaux patissiers.

points à améliorer :
- trouver un moyen de protéger les sieges quand il pleut et que le vélo est stationné dehors
- coffre - tel quel, le coffre n'offre pas de facilité à transporter des choses fragiles. les 3 gateaux dans leurs boites ont été transporté par le passager arrière, car je pense que dans le coffre, ils se seraient beaucoup abimé avec les vibrations de la route notamment. isl auraient probazblement bougé aussi.
- il manque de petits rangement pour pouvoir mettre des clés, des téléphones ou autre, sans craindre de les perdre pendant le trajet.
- le clignottant n'émet aucun indicateur, ce n'est pas indispenbsable mais du coup j'oublie souvent de l'éteindre après un virage.",,,marche,,marche,{}
Karbikes,Karbikes,10.27093492459054,1,PNR Grand Causses,16:30,17:15,55,Jour,0,1,0,0,0,0,,Loisirs,0.0,1,1,1,1,1,1,,0.0,0,0,0,0,0,"avec un autre adulte, les montées sont assez lente, meme en turbo",,,,Très positif,"j'ai effectué une ballade de 5km dans millau pour faire visiter la ville à un ami. le véhicule se prete particulièrement bien à cela, avec la grande visibilité dont on dispose installé devant.
le poids global chargé du véhicule était elevé, il est plus difficile en montée d'avancer. ce n'est pas génant, sauf si on est dans la circulation.
j'ai utilisé beaucoupd e pistes cyclables, c'est plutôt facile de se croisera vec les autres cyclistes, meme si le véhicule les impressionne et qu'ils ont tendance à s'écarter.

j'utilise beaucoup les deux modes predict et turbo. je suis en predictsur plat, et passe en turbo dès que ca monte. du coup, c'est assez pratique dans un sens, mais quand je dois repasser de turbo à predict, je dois appuyer 4 fois pour passer tous les autres modes avant. Ce qui est normal vu l'interface à 1 seul bouton. ca serait appréciable de pouvoir facilement faire un aller retour entre ces deux modes avec un seul appuie, à voir si c'est intégrable en terme d'UX/UI.
l'utilisation de la batterie n'a pas été plus importante meme très chargé, ce qui est appréciable.",,,marche,,marche,{}
,Karbikes,,1,PNR Grand Causses,16:00,16:30,56,Jour,0,1,0,0,0,0,,Loisirs,0.0,1,1,1,1,1,1,,0.0,0,1,0,0,0,,,,,Très positif,"ballade avec deux enfants de 5 et 6 ans. le karbike est très bizen adapté à l'arrière aux enfants en bas age.
néanmoins, pour l'enfant de 6 ans, c'était la limite de taille pour l'attacher avec les attaches fournies. JE ne pouvais pas agrandir les bretelles plus, et c'était un tout petit peu trop serré pour l'enfant de 6 ans.
A mon sens, on devrait pouvoir attacher les enfants jusqu'à au moins 10 ans à l'arrière. ne plus attacher un enfant à 6 7 ans, c'est trop tôt, meme avec un casque.

une autre idéed 'amélioration, pas indispensable mais qui serait idéale si possible, ce serait d'avoir des petits accoudoirs qui permettent aux corps des enfants d'avoir l'accoudoir qui le retient. quand on tourne avec le karbike, il y a beaucoup de force centrifuge si on a 15km/h+ de vitesse, et les petits enfants n'ont que les ceintures, ils ne peuvent pas se retenir. alors ils s'accrochent au siège de devant. l'idéal serait des accoudoirs retractables, comme dans les bus, pour pouvoir les ""ranger"" quand un adulte vient derriere",,,marche,,marche,{}
Karbikes,Karbikes,6.991985489176752,3,PNR Grand Causses,09:00,09:45,57,Jour,1,0,0,1,0,0,,kiné,0.0,1,1,0,0,0,0,facile à garer,1.0,0,0,0,0,0,,,,,Très positif,"j'ai utilisé le karbike pour un déplacement que j'effectue à pied d'habitude. 1km aller, 1 km retour. 
c'est idéal quand on a pas le temps de marcher, car on peut très facilement garer le karbike en ville, que ce soit sur la chaussée ou sur les places vélos existantes, voir meme les trottoirs larges. 
démarrer le karbike, le garer, mettre l'antivol, cela prends vraiment très peu de temps.",,,marche,,marche,{}
Karbikes,Karbikes,4.654474382593819,1,PNR Grand Causses,10:30,11:45,58,Jour,1,0,0,1,0,0,,Courses,0.0,1,1,0,1,1,0,,0.0,0,1,0,0,0,,,montée très difficile - (rue charles dutheil Millau),,Positif,"aller retour à un supermarché pour faire des courses.
il n'y a pas d'attaches dans le coffre pour les sacs, quand ils sont vides. du coup, on ne peut pas rouler en ayant baissé le siège arrière, car ce qu'il y a dans le coffre s'envole.
pas d'attache non plus aux pieds pour accrocher un sac à dos, pour être sur qu'il ne tombe par pendant un virage ou par le vent.
ca serait mieux avec quelque chose qui permette cela

le guidon du vélo n'a pas l'air centré, il dévie sur la droite automatiquement quand on le lache.
sinon, pour le reste de l'usage, c'était très bien. le coffre permet, meme en mode siege relevé, de mettre 2 gros sacs de courses, sans devoir superposé. ce qui est déjà bien pratique en terme de volume de courses.",3.0677134,44.0945507,marche,,marche,{}
